-0.039999999999999994, 0.17502056599432367, 0.09805;(-0.014251130754505582, -0.014251130754505582, -0.014251130754505582)
-0.03, 0.17502056599432367, 0.09805;(-0.03134675239657171, -0.03134675239657171, -0.03134675239657171)
-0.020000000000000004, 0.17502056599432367, 0.09805;(-0.018432684800874403, -0.018432684800874403, -0.018432684800874403)
-0.009999999999999995, 0.17502056599432367, 0.09805;(0.0005180216817896993, 0.0005180216817896993, 0.0005180216817896993)
0.0, 0.17502056599432367, 0.09805;(0.0017390245514971724, 0.0017390245514971724, 0.0017390245514971724)
0.010000000000000002, 0.17502056599432367, 0.09805;(0.001619787077628063, 0.001619787077628063, 0.001619787077628063)
0.020000000000000004, 0.17502056599432367, 0.09805;(0.0014830104205011813, 0.0014830104205011813, 0.0014830104205011813)
0.030000000000000002, 0.17502056599432367, 0.09805;(0.0014437088055849676, 0.0014437088055849676, 0.0014437088055849676)
0.04, 0.17502056599432367, 0.09805;(0.0017619654535155603, 0.0017619654535155603, 0.0017619654535155603)
0.05, 0.17502056599432367, 0.09805;(0.005144817609509737, 0.005144817609509737, 0.005144817609509737)
-0.039999999999999994, 0.18502056599432365, 0.09805;(-0.00316975991298662, -0.00316975991298662, -0.00316975991298662)
-0.03, 0.18502056599432365, 0.09805;(0.0012512398470571721, 0.0012512398470571721, 0.0012512398470571721)
-0.020000000000000004, 0.18502056599432365, 0.09805;(0.0014819652892159158, 0.0014819652892159158, 0.0014819652892159158)
-0.009999999999999995, 0.18502056599432365, 0.09805;(0.0016982873767936002, 0.0016982873767936002, 0.0016982873767936002)
0.0, 0.18502056599432365, 0.09805;(0.001678983841258419, 0.001678983841258419, 0.001678983841258419)
0.010000000000000002, 0.18502056599432365, 0.09805;(0.001486362177845409, 0.001486362177845409, 0.001486362177845409)
0.020000000000000004, 0.18502056599432365, 0.09805;(0.0013397044340552066, 0.0013397044340552066, 0.0013397044340552066)
0.030000000000000002, 0.18502056599432365, 0.09805;(0.0014577419027550463, 0.0014577419027550463, 0.0014577419027550463)
0.04, 0.18502056599432365, 0.09805;(0.0017929061670813526, 0.0017929061670813526, 0.0017929061670813526)
0.05, 0.18502056599432365, 0.09805;(0.002094173074489341, 0.002094173074489341, 0.002094173074489341)
-0.039999999999999994, 0.19502056599432366, 0.09805;(-0.002276994955801616, -0.002276994955801616, -0.002276994955801616)
-0.03, 0.19502056599432366, 0.09805;(0.0010120218145484503, 0.0010120218145484503, 0.0010120218145484503)
-0.020000000000000004, 0.19502056599432366, 0.09805;(0.001761421720425858, 0.001761421720425858, 0.001761421720425858)
-0.009999999999999995, 0.19502056599432366, 0.09805;(0.0019210259197116678, 0.0019210259197116678, 0.0019210259197116678)
0.0, 0.19502056599432366, 0.09805;(0.0020408401175658715, 0.0020408401175658715, 0.0020408401175658715)
0.010000000000000002, 0.19502056599432366, 0.09805;(0.0017142425874322198, 0.0017142425874322198, 0.0017142425874322198)
0.020000000000000004, 0.19502056599432366, 0.09805;(0.001751115496184134, 0.001751115496184134, 0.001751115496184134)
0.030000000000000002, 0.19502056599432366, 0.09805;(0.0014661771320490756, 0.0014661771320490756, 0.0014661771320490756)
0.04, 0.19502056599432366, 0.09805;(0.0017555029353808552, 0.0017555029353808552, 0.0017555029353808552)
0.05, 0.19502056599432366, 0.09805;(0.0019253721324860192, 0.0019253721324860192, 0.0019253721324860192)
-0.039999999999999994, 0.20502056599432367, 0.09805;(-0.002316506410373, -0.002316506410373, -0.002316506410373)
-0.03, 0.20502056599432367, 0.09805;(0.0010946419996830648, 0.0010946419996830648, 0.0010946419996830648)
-0.020000000000000004, 0.20502056599432367, 0.09805;(0.0009411726781134595, 0.0009411726781134595, 0.0009411726781134595)
-0.009999999999999995, 0.20502056599432367, 0.09805;(0.0013530324470550417, 0.0013530324470550417, 0.0013530324470550417)
0.0, 0.20502056599432367, 0.09805;(0.0016129717537868406, 0.0016129717537868406, 0.0016129717537868406)
0.010000000000000002, 0.20502056599432367, 0.09805;(0.0014669536269005204, 0.0014669536269005204, 0.0014669536269005204)
0.020000000000000004, 0.20502056599432367, 0.09805;(0.0014188881372401198, 0.0014188881372401198, 0.0014188881372401198)
0.030000000000000002, 0.20502056599432367, 0.09805;(0.0017636157395450186, 0.0017636157395450186, 0.0017636157395450186)
0.04, 0.20502056599432367, 0.09805;(0.0018329174009121378, 0.0018329174009121378, 0.0018329174009121378)
0.05, 0.20502056599432367, 0.09805;(0.0020016684112004837, 0.0020016684112004837, 0.0020016684112004837)
-0.039999999999999994, 0.21502056599432368, 0.09805;(-0.0030588628948299418, -0.0030588628948299418, -0.0030588628948299418)
-0.03, 0.21502056599432368, 0.09805;(0.0012640745207572514, 0.0012640745207572514, 0.0012640745207572514)
-0.020000000000000004, 0.21502056599432368, 0.09805;(0.0009512155673858623, 0.0009512155673858623, 0.0009512155673858623)
-0.009999999999999995, 0.21502056599432368, 0.09805;(0.001291311653635771, 0.001291311653635771, 0.001291311653635771)
0.0, 0.21502056599432368, 0.09805;(0.0013012645260364194, 0.0013012645260364194, 0.0013012645260364194)
0.010000000000000002, 0.21502056599432368, 0.09805;(0.0011981917515690073, 0.0011981917515690073, 0.0011981917515690073)
0.020000000000000004, 0.21502056599432368, 0.09805;(0.0012285979283090294, 0.0012285979283090294, 0.0012285979283090294)
0.030000000000000002, 0.21502056599432368, 0.09805;(0.0014133929783525384, 0.0014133929783525384, 0.0014133929783525384)
0.04, 0.21502056599432368, 0.09805;(0.0017314803807202083, 0.0017314803807202083, 0.0017314803807202083)
0.05, 0.21502056599432368, 0.09805;(0.0018898096031098783, 0.0018898096031098783, 0.0018898096031098783)
-0.039999999999999994, 0.22502056599432366, 0.09805;(-0.002938538995062641, -0.002938538995062641, -0.002938538995062641)
-0.03, 0.22502056599432366, 0.09805;(0.0007801394120783544, 0.0007801394120783544, 0.0007801394120783544)
-0.020000000000000004, 0.22502056599432366, 0.09805;(0.0007905591093771598, 0.0007905591093771598, 0.0007905591093771598)
-0.009999999999999995, 0.22502056599432366, 0.09805;(0.0007329252884820421, 0.0007329252884820421, 0.0007329252884820421)
0.0, 0.22502056599432366, 0.09805;(0.0007866248590970123, 0.0007866248590970123, 0.0007866248590970123)
0.010000000000000002, 0.22502056599432366, 0.09805;(0.0009725587494373971, 0.0009725587494373971, 0.0009725587494373971)
0.020000000000000004, 0.22502056599432366, 0.09805;(0.0014233392989110142, 0.0014233392989110142, 0.0014233392989110142)
0.030000000000000002, 0.22502056599432366, 0.09805;(0.001279506059430317, 0.001279506059430317, 0.001279506059430317)
0.04, 0.22502056599432366, 0.09805;(0.0017629017183901918, 0.0017629017183901918, 0.0017629017183901918)
0.05, 0.22502056599432366, 0.09805;(0.0016060199648632219, 0.0016060199648632219, 0.0016060199648632219)
-0.039999999999999994, 0.23502056599432367, 0.09805;(-0.0034194648825060583, -0.0034194648825060583, -0.0034194648825060583)
-0.03, 0.23502056599432367, 0.09805;(0.0009564851752270261, 0.0009564851752270261, 0.0009564851752270261)
-0.020000000000000004, 0.23502056599432367, 0.09805;(0.0006922911094049654, 0.0006922911094049654, 0.0006922911094049654)
-0.009999999999999995, 0.23502056599432367, 0.09805;(0.00020125979652239138, 0.00020125979652239138, 0.00020125979652239138)
0.0, 0.23502056599432367, 0.09805;(0.0006123407769315534, 0.0006123407769315534, 0.0006123407769315534)
