-0.039999999999999994, 0.17502056599432367, 0.09805;(-0.049015485913298004, 0.10092080521352129, 0.016911086128864446)
-0.03, 0.17502056599432367, 0.09805;(-0.0023403019081692823, 0.002924620576965381, 0.002162025779657545)
-0.020000000000000004, 0.17502056599432367, 0.09805;(0.001285343944494196, 0.002042636860065228, 0.0022698173201542438)
-0.009999999999999995, 0.17502056599432367, 0.09805;(0.00231552116969835, 0.0012904465256091402, 0.002012585291951516)
0.0, 0.17502056599432367, 0.09805;(0.0023005007116508216, 0.0013210788256106942, 0.0017039992840116175)
0.010000000000000002, 0.17502056599432367, 0.09805;(0.0020909278386034985, 0.0014688134571715639, 0.0017060300190149813)
0.020000000000000004, 0.17502056599432367, 0.09805;(0.0018041825564508382, 0.002326850372097594, 0.0018028318190408121)
0.030000000000000002, 0.17502056599432367, 0.09805;(0.001456308179240258, 0.00337412099134779, 0.0024511190714520403)
0.04, 0.17502056599432367, 0.09805;(0.0019157844365739682, 0.0030373880047774304, 0.002590854082242966)
0.05, 0.17502056599432367, 0.09805;(0.001955729330739807, 0.003670915570670563, 0.0029033568243194002)
-0.039999999999999994, 0.18502056599432365, 0.09805;(-0.003141187076975853, 0.0033061075730252687, 0.002876687064680805)
-0.03, 0.18502056599432365, 0.09805;(0.0011969617004748481, 0.001172187476001979, 0.0022087637977965674)
-0.020000000000000004, 0.18502056599432365, 0.09805;(0.001523984126868546, 0.0012032596599313161, 0.002158842695676344)
-0.009999999999999995, 0.18502056599432365, 0.09805;(0.0015864633353530212, 0.0012580674585332685, 0.0022942083115104345)
0.0, 0.18502056599432365, 0.09805;(0.001697758756244577, 0.001742145631698916, 0.0024128422381194115)
0.010000000000000002, 0.18502056599432365, 0.09805;(0.0015359893455750215, 0.001840466276201408, 0.0024209142381618753)
0.020000000000000004, 0.18502056599432365, 0.09805;(0.0014201300020629908, 0.0026371676281743694, 0.002397667400541953)
0.030000000000000002, 0.18502056599432365, 0.09805;(0.0015916584137185032, 0.003260464909653149, 0.0025833416452693547)
0.04, 0.18502056599432365, 0.09805;(0.001855384780362096, 0.0030877838179395323, 0.00249762722599281)
0.05, 0.18502056599432365, 0.09805;(0.002204375852816312, 0.0024974841566725026, 0.0021084323391651616)
-0.039999999999999994, 0.19502056599432366, 0.09805;(-0.0024669017508395924, 0.00322659656174043, 0.0026054603946276123)
-0.03, 0.19502056599432366, 0.09805;(0.0010847844433025562, 0.0013887261483126745, 0.002109016490976487)
-0.020000000000000004, 0.19502056599432366, 0.09805;(0.001837742910181267, 0.001386907434875767, 0.0021897715784638255)
-0.009999999999999995, 0.19502056599432366, 0.09805;(0.0018965689018596871, 0.0016358819815997794, 0.0025432707633526175)
