(-0.039999999999999994, 0.17502056599432367, 0.09805);(0.049938305440812875, 0.26518851523570175, 0.12428372783363031);(0.04787357495678536, 0.262999913439549, 0.11755459048247403)
(-0.03, 0.17502056599432367, 0.09805);(-0.030027789385233674, 0.17483007953756227, 0.033267550628961653);(0.05984210941173072, 0.07274869484532942, 0.03794383242178307)
(-0.020000000000000004, 0.17502056599432367, 0.09805);(-0.020054235807312384, 0.17485107781005144, 0.03337540101325846);(0.037494940853926975, 0.06911411031576764, 0.01923998010507967)
(-0.009999999999999995, 0.17502056599432367, 0.09805);(-0.009929077795545301, 0.17486769282388512, 0.033367078505352116);(-0.007764303938670423, 0.16599330329963313, 0.027102761051663274)
(0.0, 0.17502056599432367, 0.09805);(0.000055741241179920674, 0.1749718644419113, 0.03334678998221054);(-0.0010116959672499149, 0.17149848612601987, 0.030496820737986277)
(0.010000000000000002, 0.17502056599432367, 0.09805);(0.009967051965406376, 0.174955410643899, 0.03334882816995431);(0.008698819540190857, 0.1720929784912436, 0.031047573628729647)
(0.020000000000000004, 0.17502056599432367, 0.09805);(0.01998278589920916, 0.1749569840017616, 0.03334357451215256);(0.018575996940046066, 0.17177631868088322, 0.03125712963520694)
(0.030000000000000002, 0.17502056599432367, 0.09805);(0.030019429737638666, 0.17492740702038814, 0.033330215700071456);(0.028130660581369774, 0.17235105785682836, 0.0314705352688443)
(0.04, 0.17502056599432367, 0.09805);(0.03998976720888683, 0.17490258954014692, 0.03332203644537837);(0.037864811272047556, 0.1720815553992887, 0.0309897882994066)
(0.05, 0.17502056599432367, 0.09805);(0.05005508975253631, 0.17493376185107173, 0.03331118232467965);(0.04788684478552983, 0.17166653634766277, 0.0307812112202987)
(-0.039999999999999994, 0.18502056599432365, 0.09805);(-0.03994214956466259, 0.18479869431750776, 0.03327261831671255);(-0.036998272848388414, 0.1819449884783041, 0.030880600995568996)
(-0.03, 0.18502056599432365, 0.09805);(-0.030060860347547243, 0.1848320019340642, 0.033363093478933945);(-0.03145290676615762, 0.18365186333989136, 0.03132964519820715)
(-0.020000000000000004, 0.18502056599432365, 0.09805);(-0.02003491492234559, 0.18488303176339135, 0.033354747971699);(-0.021886029632152, 0.1833404396810756, 0.03123779714352075)
(-0.009999999999999995, 0.18502056599432365, 0.09805);(-0.009944926072339991, 0.18487490370234808, 0.03336275767017639);(-0.011945505516251294, 0.18345504428412374, 0.031223541235878297)
(0.0, 0.18502056599432365, 0.09805);(0.00004545577827295329, 0.18496630928204252, 0.033342100981251344);(-0.001964708191591583, 0.18355457730883917, 0.031313063029730345)
(0.010000000000000002, 0.18502056599432365, 0.09805);(0.009986205699836378, 0.18487725430206323, 0.033350306461625207);(0.00815648274849338, 0.18338377049590132, 0.031313077999546746)
(0.020000000000000004, 0.18502056599432365, 0.09805);(0.01997911652787722, 0.1849265444663912, 0.03332700766757962);(0.018284954570165185, 0.1826520233540322, 0.031313004029534214)
(0.030000000000000002, 0.18502056599432365, 0.09805);(0.03002986871845778, 0.18494331399780145, 0.03332706208213894);(0.02821930994217414, 0.18188930200920406, 0.031015569053869083)
(0.04, 0.18502056599432365, 0.09805);(0.03999820641711599, 0.1849574963566233, 0.03332723683362526);(0.03764958615876205, 0.1821472258244199, 0.031104647140090314)
(0.05, 0.18502056599432365, 0.09805);(0.05004634582878449, 0.18494783055813968, 0.03332502949067706);(0.04736025866574306, 0.18275361152831754, 0.03149631709379619)
(-0.039999999999999994, 0.19502056599432366, 0.09805);(-0.039930163766054794, 0.19487147892306936, 0.033256971274677846);(-0.03795630376848705, 0.19214679904301768, 0.031086997767123578)
(-0.03, 0.19502056599432366, 0.09805);(-0.029954705123660347, 0.19489610542461908, 0.033375790691666754);(-0.03065496908402804, 0.19340529074565782, 0.031154217566410555)
