-0.039999999999999994, 0.17502056599432367, 0.09805;(-0.06152733433886696, 0.14386676225527908, 0.002171690598018333);(-0.05424422524127013, 0.16359147015683623, 0.01939367350206192)
-0.03, 0.17502056599432367, 0.09805;(-0.06152733433886696, 0.14386676225527908, 0.002171690598018333);(-0.05424422524127013, 0.16359147015683623, 0.01939367350206192)
-0.020000000000000004, 0.17502056599432367, 0.09805;(-0.05425996952216168, 0.16060705493012303, 0.019039714395397783);(-0.05424422524127013, 0.16359147015683623, 0.01939367350206192)
-0.009999999999999995, 0.17502056599432367, 0.09805;(-0.061522471343095186, 0.14386231670447513, 0.0021741011395725457);(-0.051908357903823976, 0.17056562054505103, 0.024715183597149443)
0.0, 0.17502056599432367, 0.09805;(-0.03833345534374055, 0.15640831780547504, 0.014861103476690299);(-0.01031988287936424, 0.17392771381308714, 0.030937807327953787)
0.010000000000000002, 0.17502056599432367, 0.09805;(-0.00936625651991739, 0.17505528246423604, 0.033609084219536484);(0.000755289632014208, 0.17458590494534976, 0.03220925822063478)
0.020000000000000004, 0.17502056599432367, 0.09805;(0.0017267370383637877, 0.17662871897090074, 0.03504536039668972);(0.01102864109150715, 0.17393138820024195, 0.03199719542733208)
0.030000000000000002, 0.17502056599432367, 0.09805;(0.011594651622903044, 0.17655378812156955, 0.034957465591593254);(0.020692715114039452, 0.17282135691277356, 0.03164177327248793)
0.04, 0.17502056599432367, 0.09805;(0.021493552169433643, 0.17641285445358115, 0.03481714095770452);(0.03080604283049426, 0.17205621725297066, 0.031225358057714356)
0.05, 0.17502056599432367, 0.09805;(0.03148829707263086, 0.17636103891510882, 0.03476980230813993);(0.04073172672953349, 0.1720858853902138, 0.03102240346087312)
-0.039999999999999994, 0.18502056599432365, 0.09805;(0.04185522490996086, 0.17666588762801336, 0.035072537950945504);(0.053572440235419204, 0.1757687968436707, 0.03428462617537337)
-0.03, 0.18502056599432365, 0.09805;(0.055167879537551055, 0.17994896798250554, 0.03838448578887549);(-0.03924981708374963, 0.17865611481930505, 0.0276251151551678)
-0.020000000000000004, 0.18502056599432365, 0.09805;(-0.04317014914332534, 0.1818278946744628, 0.030251305790955904);(-0.02807753254552694, 0.18208397646878932, 0.030402157956912493)
-0.009999999999999995, 0.18502056599432365, 0.09805;(-0.028697532311969906, 0.18619941767958256, 0.03455829680761385);(-0.01877941580048116, 0.18378053117189547, 0.031075132559783725)
0.0, 0.18502056599432365, 0.09805;(-0.0184664589059974, 0.18636436311225793, 0.03484280498454263);(-0.008848696631934848, 0.18377225290627408, 0.03083335151720837)
0.010000000000000002, 0.18502056599432365, 0.09805;(-0.008233187748666012, 0.18664714097953303, 0.03503745359872583);(0.0007082053250271913, 0.1847874660150574, 0.031377755153055076)
0.020000000000000004, 0.18502056599432365, 0.09805;(0.0017160857569279275, 0.1866798679380557, 0.03501268084972671);(0.010346055742664931, 0.18449901740539143, 0.03137778483200519)
0.030000000000000002, 0.18502056599432365, 0.09805;(0.01141739860753518, 0.18641791077106676, 0.03483076205175299);(0.020500766294172038, 0.18364816911412063, 0.03137774746842405)
0.04, 0.18502056599432365, 0.09805;(0.021340435903331078, 0.18627316009518038, 0.03467296580081246);(0.030765579265128504, 0.18150794078271038, 0.030644832263473726)
0.05, 0.18502056599432365, 0.09805;(0.03147852205352411, 0.18643457024382848, 0.03478741329734995);(0.04096040113115591, 0.1818512576807642, 0.03069359984999727)
-0.039999999999999994, 0.19502056599432366, 0.09805;(0.04179281799095622, 0.18668957810260908, 0.03512178218980637);(0.05034362451827639, 0.1831143368046928, 0.03130498505312236)
