0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
1,['1.7472323', '-1.299787', '-0.23322889', '0.06360243', '0.00015832309', '0.17703956'](0.11029700449453164, -0.06472095818315975, 0.4670811299988454)
2,['1.7471764', '-1.3639582', '-0.27227', '0.05725924', '0.00057849276', '0.17617214'](0.013353449164671332, 0.2930642517159983, 0.11835763328851599)
3,['1.7470607', '-1.3597172', '-0.2742179', '0.061069958', '0.0012900512', '0.1763315'](0.015105496313969754, 0.2830610038141081, 0.09300527796573459)
4,['1.7470607', '-1.3597403', '-0.27423522', '0.061069958', '0.0012900512', '0.1763315'](0.014957079402017504, 0.2836288276691148, 0.09412623592456223)
5,['1.7470607', '-1.3597414', '-0.2742363', '0.061069958', '0.0012900512', '0.1763315'](0.014957800310623942, 0.2836248005188051, 0.09411709197792555)
6,['1.7470607', '-1.3597416', '-0.2742363', '0.061069958', '0.0012900512', '0.1763315'](0.014957843632426701, 0.28362451077140666, 0.09411646649550964)
7,['1.7470607', '-1.3597411', '-0.27423614', '0.061069958', '0.0012900512', '0.1763315'](0.014957843632426701, 0.28362451077140666, 0.09411646649550964)
8,['1.7827259', '-1.3475701', '-0.29537064', '0.07146963', '3.328149e-05', '0.21161412'](0.014957835359809919, 0.28362461031743363, 0.0941165856278232)
9,['1.7827259', '-1.3475703', '-0.29537085', '0.07146963', '3.328149e-05', '0.21161412'](0.005006595238056286, 0.2838217815671868, 0.09467500173718386)
10,['1.7827259', '-1.3475704', '-0.29537085', '0.07146963', '3.328149e-05', '0.21161412'](0.005006585895589778, 0.2838217671110752, 0.0946749719449398)
11,['1.7827259', '-1.34757', '-0.29537076', '0.07146963', '3.328149e-05', '0.21161412'](0.005006570150837909, 0.28382170108061466, 0.09467483785840818)
12,['1.7827259', '-1.3475695', '-0.29537064', '0.07146963', '3.328149e-05', '0.21161412'](0.005006553633914379, 0.2838217755717127, 0.09467503154301249)
13,['1.7827259', '-1.347569', '-0.29537052', '0.07146963', '3.328149e-05', '0.21161412'](0.005006562711120274, 0.2838217986958846, 0.09467519541873205)
14,['1.7827259', '-1.3475685', '-0.2953704', '0.07146963', '3.328149e-05', '0.21161412'](0.0050065749117086085, 0.28382185096842677, 0.09467529971165424)
15,['1.8181171', '-1.34743', '-0.29566032', '0.071587466', '-0.0010913974', '0.24702792'](0.005006540384644058, 0.2838218723339709, 0.09467538910314069)
16,['1.8181171', '-1.3474302', '-0.29566044', '0.071587466', '-0.0010913974', '0.24702792'](-0.004920613059925578, 0.283843788297286, 0.09467347651763225)
17,['1.8181171', '-1.3474301', '-0.2956604', '0.071587466', '-0.0010913974', '0.24702792'](-0.004920613059925578, 0.283843788297286, 0.09467347651763225)
18,['1.8181171', '-1.3474296', '-0.29566032', '0.071587466', '-0.0010913974', '0.24702792'](-0.004920613059925578, 0.283843788297286, 0.09467347651763225)
19,['1.8181171', '-1.3474292', '-0.2956602', '0.071587466', '-0.0010913974', '0.24702792'](-0.004920628334919803, 0.28384380219776106, 0.0946735510080383)
20,['1.8181171', '-1.3474287', '-0.29566008', '0.071587466', '-0.0010913974', '0.24702792'](-0.004920637839191562, 0.2838439150606403, 0.09467372979946016)
21,['1.8181171', '-1.3474282', '-0.29565996', '0.071587466', '-0.0010913974', '0.24702792'](-0.0049206749651726075, 0.2838439946395636, 0.09467395328428173)
22,['1.8528136', '-1.357738', '-0.2749383', '0.062221814', '5.2480653e-05', '0.28182024'](-0.004920693610904358, 0.2838440452399927, 0.09467404266260787)
23,['1.8528136', '-1.3577234', '-0.27492735', '0.062221814', '5.2480627e-05', '0.28182024'](-0.015008010574831823, 0.283879173869845, 0.09463660550715612)
24,['1.8528136', '-1.3577223', '-0.27492654', '0.062221814', '5.2480627e-05', '0.28182024'](-0.015008704838812403, 0.28388171035465976, 0.09464249205059161)
25,['1.8528136', '-1.357722', '-0.27492645', '0.062221814', '5.2480627e-05', '0.28182024'](-0.01500877748886603, 0.28388189758562526, 0.09464296893700302)
26,['1.8528136', '-1.3577217', '-0.27492636', '0.062221814', '5.2480627e-05', '0.28182024'](-0.015008784942871257, 0.2838819541369345, 0.09464308815537083)
27,['1.8528136', '-1.3577212', '-0.27492622', '0.062221814', '5.2480627e-05', '0.28182024'](-0.015008803003228162, 0.28388199807933073, 0.09464322228245499)
28,['1.8528136', '-1.3577207', '-0.2749261', '0.062221814', '5.2480627e-05', '0.28182024'](-0.015008827132527816, 0.28388207860436176, 0.0946432967976057)
29,['1.7169983', '-1.1698834', '-0.6670945', '0.26718482', '-0.00053886825', '0.14588274'](-0.015008828164678915, 0.28388210632084493, 0.09464346072028823)
30,['1.7169983', '-1.1700554', '-0.66722363', '0.26718482', '-0.00053886767', '0.14588274'](0.025011624088378245, 0.2740236507242968, 0.09510957639354253)
31,['1.7169983', '-1.1700666', '-0.66723186', '0.26718482', '-0.00053886767', '0.14588274'](0.025016499901050832, 0.2739905725576045, 0.09504213200414142)
32,['1.7169983', '-1.1700673', '-0.6672322', '0.26718482', '-0.00053886767', '0.14588274'](0.025016808720655044, 0.27398848955073074, 0.09503783962077983)
33,['1.7169983', '-1.1700675', '-0.6672321', '0.26718482', '-0.00053886767', '0.14588274'](0.0250167982128878, 0.2739883828266955, 0.09503757134221875)
34,['1.7169983', '-1.1700671', '-0.667232', '0.26718482', '-0.00053886767', '0.14588274'](0.02501680945710825, 0.27398836423875655, 0.09503745211976398)
35,['1.7169983', '-1.1700666', '-0.6672318', '0.26718482', '-0.00053886767', '0.14588274'](0.02501680110110472, 0.2739884106564437, 0.09503767567014976)
36,['1.7539833', '-1.1602201', '-0.6908554', '0.28027776', '-0.000806946', '0.18356632'](0.025016808720655044, 0.27398848955073074, 0.09503783962077983)
37,['1.7539833', '-1.1602352', '-0.6908668', '0.28027776', '-0.000806946', '0.18356632'](0.015050924153445482, 0.27388433928470896, 0.09471312484106172)
38,['1.7539833', '-1.1602361', '-0.6908675', '0.28027776', '-0.000806946', '0.18356632'](0.015051494031793537, 0.273881434582202, 0.09470720910389703)
39,['1.7539833', '-1.1602358', '-0.69086766', '0.28027776', '-0.000806946', '0.18356632'](0.015051518201848128, 0.2738812209459346, 0.09470677697394488)
40,['1.7539833', '-1.1602353', '-0.69086754', '0.28027776', '-0.000806946', '0.18356632'](0.015051551666867558, 0.2738812467989744, 0.09470686637873535)
41,['1.7539833', '-1.1602348', '-0.69086736', '0.28027776', '-0.000806946', '0.18356632'](0.015051509647093389, 0.27388130442745706, 0.09470698558826528)
42,['1.7539833', '-1.1602343', '-0.6908672', '0.28027776', '-0.000806946', '0.18356632'](0.015051487360123884, 0.27388137495638737, 0.09470714950074695)
