2024-07-24 14:42:36.181,1,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.814266E-06 -1.401723E-05 -2.431587E-05,0 0.1649933 0,-0.003585964 -2.693806E-05 90.00013,0 0.2749786 0,-0.003576991 -0.0005082439 -4.478332E-05,0 0.2749786 0,0.005111686 179.9996 90.00023,0 0.4009705 0,0.0051053 179.9996 3.456098E-05,0 0.4009857 0,0.005106434 179.9996 90.00021,0 0.4569855 0,0.005102892 179.9996 2.431542E-05
2024-07-24 14:42:36.495,2,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,2.281179E-06 1.031865E-05 -2.44326E-05,0 0.1649933 0,359.9908 -2.154861E-06 90.00013,0 0.2749786 0,359.9908 -0.001192381 -3.794797E-05,0 0.2749786 0,0.01314977 179.9989 90.00024,0 0.4009705 -6.103516E-05,0.01314321 179.9988 2.44092E-05,0 0.4009857 -6.103516E-05,0.01314629 179.9988 90.0002,0 0.4569855 -6.103516E-05,0.01314222 179.9988 5.027997E-07
2024-07-24 14:42:36.518,3,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.894323E-06 5.774644E-05 -2.467939E-05,0 0.1649933 0,359.9842 4.486397E-05 90.00013,0 0.2749786 0,359.9842 -0.001961073 -5.499742E-05,0 0.2749786 0,0.02256989 179.9982 90.00024,0 0.4009705 -6.103516E-05,0.02256339 179.998 3.484372E-05,0 0.4009857 -6.103516E-05,0.02256905 179.998 90.00021,0 0.4569855 -0.0001220703,0.02256547 179.998 1.435223E-05
2024-07-24 14:42:36.524,4,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.894323E-06 5.774644E-05 -2.467939E-05,0 0.1649933 0,359.9842 4.486397E-05 90.00013,0 0.2749786 0,359.9842 -0.001961073 -5.499742E-05,0 0.2749786 0,0.02256989 179.9982 90.00024,0 0.4009705 -6.103516E-05,0.02256339 179.998 3.484372E-05,0 0.4009857 -6.103516E-05,0.02256905 179.998 90.00021,0 0.4569855 -0.0001220703,0.02256547 179.998 1.435223E-05
2024-07-24 14:42:36.527,5,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.894323E-06 5.774644E-05 -2.467939E-05,0 0.1649933 0,359.9842 4.486397E-05 90.00013,0 0.2749786 0,359.9842 -0.001961073 -5.499742E-05,0 0.2749786 0,0.02256989 179.9982 90.00024,0 0.4009705 -6.103516E-05,0.02256339 179.998 3.484372E-05,0 0.4009857 -6.103516E-05,0.02256905 179.998 90.00021,0 0.4569855 -0.0001220703,0.02256547 179.998 1.435223E-05
2024-07-24 14:42:36.530,6,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.533,7,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.535,8,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.538,9,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.541,10,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
2024-07-24 14:42:36.544,11,0 0 0,7.470489E-07 3.201637E-07 -1.026859E-05,0 0.1649933 0,1.794281E-06 0.0001171604 -2.189128E-05,0 0.1649933 0,359.9773 0.0001042479 90.00013,0 0.2749786 -6.103516E-05,359.9773 -0.00273909 -5.177965E-05,0 0.2749786 -6.103516E-05,0.03234685 179.9974 90.00024,0 0.4009705 -0.0001220703,0.03234039 179.9971 3.196381E-05,0 0.4009857 -0.0001220703,0.03234928 179.9971 90.00019,0 0.4569855 -0.0001220703,0.03234528 179.9971 2.171714E-05
