2024-07-24 14:43:30.970,1,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 -0.00001 -0.00002,0.00000 0.16499 0.00000,-0.00359 -0.00003 90.00013,0.00000 0.27498 0.00000,-0.00358 -0.00051 -0.00004,0.00000 0.27498 0.00000,0.00511 179.99960 90.00023,0.00000 0.40097 0.00000,0.00511 179.99960 0.00003,0.00000 0.40099 0.00000,0.00511 179.99960 90.00021,0.00000 0.45699 0.00000,0.00510 179.99960 0.00002
2024-07-24 14:43:31.281,2,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00001 -0.00002,0.00000 0.16499 0.00000,359.99080 0.00000 90.00013,0.00000 0.27498 0.00000,359.99080 -0.00119 -0.00004,0.00000 0.27498 0.00000,0.01315 179.99890 90.00024,0.00000 0.40097 -0.00006,0.01314 179.99880 0.00002,0.00000 0.40099 -0.00006,0.01315 179.99880 90.00020,0.00000 0.45699 -0.00006,0.01314 179.99880 0.00000
2024-07-24 14:43:31.304,3,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00006 -0.00002,0.00000 0.16499 0.00000,359.98420 0.00004 90.00013,0.00000 0.27498 0.00000,359.98420 -0.00196 -0.00005,0.00000 0.27498 0.00000,0.02257 179.99820 90.00024,0.00000 0.40097 -0.00006,0.02256 179.99800 0.00003,0.00000 0.40099 -0.00006,0.02257 179.99800 90.00021,0.00000 0.45699 -0.00012,0.02257 179.99800 0.00001
2024-07-24 14:43:31.310,4,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00006 -0.00002,0.00000 0.16499 0.00000,359.98420 0.00004 90.00013,0.00000 0.27498 0.00000,359.98420 -0.00196 -0.00005,0.00000 0.27498 0.00000,0.02257 179.99820 90.00024,0.00000 0.40097 -0.00006,0.02256 179.99800 0.00003,0.00000 0.40099 -0.00006,0.02257 179.99800 90.00021,0.00000 0.45699 -0.00012,0.02257 179.99800 0.00001
2024-07-24 14:43:31.313,5,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00006 -0.00002,0.00000 0.16499 0.00000,359.98420 0.00004 90.00013,0.00000 0.27498 0.00000,359.98420 -0.00196 -0.00005,0.00000 0.27498 0.00000,0.02257 179.99820 90.00024,0.00000 0.40097 -0.00006,0.02256 179.99800 0.00003,0.00000 0.40099 -0.00006,0.02257 179.99800 90.00021,0.00000 0.45699 -0.00012,0.02257 179.99800 0.00001
2024-07-24 14:43:31.316,6,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.319,7,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.323,8,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.325,9,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.328,10,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.330,11,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.333,12,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00012 -0.00002,0.00000 0.16499 0.00000,359.97730 0.00010 90.00013,0.00000 0.27498 -0.00006,359.97730 -0.00274 -0.00005,0.00000 0.27498 -0.00006,0.03235 179.99740 90.00024,0.00000 0.40097 -0.00012,0.03234 179.99710 0.00003,0.00000 0.40099 -0.00012,0.03235 179.99710 90.00019,0.00000 0.45699 -0.00012,0.03235 179.99710 0.00002
2024-07-24 14:43:31.336,13,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.340,14,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.343,15,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.346,16,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.349,17,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.352,18,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.357,19,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00018 -0.00003,0.00000 0.16499 0.00000,359.97070 0.00017 90.00014,0.00000 0.27498 -0.00006,359.97070 -0.00349 -0.00005,0.00000 0.27498 -0.00006,0.04183 179.99670 90.00024,0.00000 0.40097 -0.00012,0.04183 179.99640 0.00003,0.00000 0.40099 -0.00012,0.04184 179.99630 90.00020,0.00000 0.45699 -0.00018,0.04183 179.99630 0.00001
2024-07-24 14:43:31.363,20,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00024 -0.00002,0.00000 0.16499 0.00000,359.96450 0.00023 90.00014,0.00000 0.27498 -0.00006,359.96450 -0.00417 -0.00003,0.00000 0.27498 -0.00006,0.05064 179.99600 90.00022,0.00000 0.40097 -0.00018,0.05063 179.99560 0.00003,0.00000 0.40099 -0.00018,0.05065 179.99560 90.00021,0.00000 0.45699 -0.00024,0.05064 179.99560 0.00000
2024-07-24 14:43:31.366,21,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00024 -0.00002,0.00000 0.16499 0.00000,359.96450 0.00023 90.00014,0.00000 0.27498 -0.00006,359.96450 -0.00417 -0.00003,0.00000 0.27498 -0.00006,0.05064 179.99600 90.00022,0.00000 0.40097 -0.00018,0.05063 179.99560 0.00003,0.00000 0.40099 -0.00018,0.05065 179.99560 90.00021,0.00000 0.45699 -0.00024,0.05064 179.99560 0.00000
2024-07-24 14:43:31.369,22,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00024 -0.00002,0.00000 0.16499 0.00000,359.96450 0.00023 90.00014,0.00000 0.27498 -0.00006,359.96450 -0.00417 -0.00003,0.00000 0.27498 -0.00006,0.05064 179.99600 90.00022,0.00000 0.40097 -0.00018,0.05063 179.99560 0.00003,0.00000 0.40099 -0.00018,0.05065 179.99560 90.00021,0.00000 0.45699 -0.00024,0.05064 179.99560 0.00000
2024-07-24 14:43:31.371,23,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00024 -0.00002,0.00000 0.16499 0.00000,359.96450 0.00023 90.00014,0.00000 0.27498 -0.00006,359.96450 -0.00417 -0.00003,0.00000 0.27498 -0.00006,0.05064 179.99600 90.00022,0.00000 0.40097 -0.00018,0.05063 179.99560 0.00003,0.00000 0.40099 -0.00018,0.05065 179.99560 90.00021,0.00000 0.45699 -0.00024,0.05064 179.99560 0.00000
2024-07-24 14:43:31.374,24,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00024 -0.00002,0.00000 0.16499 0.00000,359.96450 0.00023 90.00014,0.00000 0.27498 -0.00006,359.96450 -0.00417 -0.00003,0.00000 0.27498 -0.00006,0.05064 179.99600 90.00022,0.00000 0.40097 -0.00018,0.05063 179.99560 0.00003,0.00000 0.40099 -0.00018,0.05065 179.99560 90.00021,0.00000 0.45699 -0.00024,0.05064 179.99560 0.00000
2024-07-24 14:43:31.377,25,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.380,26,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.382,27,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
2024-07-24 14:43:31.385,28,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16499 0.00000,0.00000 0.00030 -0.00002,0.00000 0.16499 0.00000,359.95890 0.00029 90.00013,0.00000 0.27498 -0.00006,359.95900 -0.00479 -0.00004,0.00000 0.27498 -0.00006,0.05857 179.99530 90.00026,0.00000 0.40097 -0.00018,0.05856 179.99490 0.00003,0.00000 0.40099 -0.00018,0.05858 179.99490 90.00022,0.00000 0.45699 -0.00024,0.05857 179.99490 0.00002
