2024-09-20 12:22:31.353303,1,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00000 -0.00002 -0.00001,0.00000 0.16500 0.00000,-0.00359 -0.00003 90.00014,0.00000 0.27500 -0.00001,-0.00357 -0.00050 -0.00005,0.00000 0.27500 -0.00001,0.00511 179.99960 90.00024,0.00000 0.40100 -0.00002,0.00510 179.99960 0.00005,0.00000 0.40100 -0.00002,0.00510 179.99960 90.00027,0.00000 0.45700 -0.00002,0.00510 179.99960 0.00008,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000
2024-09-20 12:22:31.856092,2,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00000 0.00001 -0.00001,0.00000 0.16500 0.00000,359.99080 -0.00001 90.00014,0.00000 0.27500 -0.00002,359.99080 -0.00119 -0.00005,0.00000 0.27500 -0.00002,0.01315 179.99900 90.00026,0.00000 0.40100 -0.00005,0.01314 179.99880 0.00006,0.00000 0.40100 -0.00005,0.01314 179.99880 90.00026,0.00000 0.45700 -0.00006,0.01314 179.99880 0.00007,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000
2024-09-20 12:22:31.884255,3,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00000 0.00005 -0.00001,0.00000 0.16500 0.00000,359.98420 0.00004 90.00014,0.00000 0.27500 -0.00003,359.98420 -0.00196 -0.00007,0.00000 0.27500 -0.00003,0.02256 179.99820 90.00026,0.00000 0.40100 -0.00008,0.02256 179.99800 0.00006,0.00000 0.40100 -0.00008,0.02256 179.99800 90.00028,0.00000 0.45700 -0.00010,0.02256 179.99800 0.00009,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000,0.00000 0.00000 0.00000
2024-09-20 12:22:31.897919,4,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00003 351.47760 -0.00001,0.00000 0.16500 0.00000,359.96700 351.47760 90.00014,0.00001 0.27500 -0.00006,359.96700 351.89180 -0.00029,0.00001 0.27500 -0.00006,0.05740 171.89190 90.00049,0.00003 0.40100 -0.00019,0.05739 171.99810 0.00041,0.00003 0.40100 -0.00019,0.06084 171.99810 90.00062,0.00004 0.45700 -0.00025,0.06084 171.99810 0.00042,0.00245 0.29146 0.09979,323.13860 305.70670 109.39360,-0.00023 0.04546 -0.00004,3.42576 5.56676 90.16660
2024-09-20 12:22:31.902995,5,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00003 351.47760 -0.00001,0.00000 0.16500 0.00000,359.96700 351.47760 90.00014,0.00001 0.27500 -0.00006,359.96700 351.89180 -0.00029,0.00001 0.27500 -0.00006,0.05740 171.89190 90.00049,0.00003 0.40100 -0.00019,0.05739 171.99810 0.00041,0.00003 0.40100 -0.00019,0.06084 171.99810 90.00062,0.00004 0.45700 -0.00025,0.06084 171.99810 0.00042,0.00247 0.29149 0.09979,323.12270 305.69780 109.40600,-0.00017 0.04554 -0.00002,3.41415 5.54647 90.16543
2024-09-20 12:22:31.906235,6,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00003 351.47760 -0.00001,0.00000 0.16500 0.00000,359.96700 351.47760 90.00014,0.00001 0.27500 -0.00006,359.96700 351.89180 -0.00029,0.00001 0.27500 -0.00006,0.05740 171.89190 90.00049,0.00003 0.40100 -0.00019,0.05739 171.99810 0.00041,0.00003 0.40100 -0.00019,0.06084 171.99810 90.00062,0.00004 0.45700 -0.00025,0.06084 171.99810 0.00042,0.00247 0.29149 0.09979,323.12270 305.69780 109.40600,-0.00017 0.04554 -0.00002,3.41415 5.54647 90.16543
2024-09-20 12:22:31.910765,7,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00007 341.26140 -0.00003,0.00000 0.16500 0.00000,359.94810 341.26140 90.00013,0.00003 0.27500 -0.00009,359.94820 341.88870 -0.00064,0.00003 0.27500 -0.00009,0.08957 161.88890 90.00082,0.00010 0.40100 -0.00028,0.08957 162.04980 0.00089,0.00010 0.40100 -0.00028,0.09479 162.04980 90.00109,0.00013 0.45700 -0.00037,0.09479 162.04980 0.00090,0.00247 0.29149 0.09979,323.12270 305.69780 109.40600,-0.00017 0.04554 -0.00002,3.41415 5.54647 90.16543
2024-09-20 12:22:31.913391,8,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00007 341.26140 -0.00003,0.00000 0.16500 0.00000,359.94810 341.26140 90.00013,0.00003 0.27500 -0.00009,359.94820 341.88870 -0.00064,0.00003 0.27500 -0.00009,0.08957 161.88890 90.00082,0.00010 0.40100 -0.00028,0.08957 162.04980 0.00089,0.00010 0.40100 -0.00028,0.09479 162.04980 90.00109,0.00013 0.45700 -0.00037,0.09479 162.04980 0.00090,0.00247 0.29144 0.09978,323.14750 305.63930 109.41630,-0.00010 0.04560 0.00000,3.43067 5.53258 90.16581
2024-09-20 12:22:31.915905,9,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00007 341.26140 -0.00003,0.00000 0.16500 0.00000,359.94810 341.26140 90.00013,0.00003 0.27500 -0.00009,359.94820 341.88870 -0.00064,0.00003 0.27500 -0.00009,0.08957 161.88890 90.00082,0.00010 0.40100 -0.00028,0.08957 162.04980 0.00089,0.00010 0.40100 -0.00028,0.09479 162.04980 90.00109,0.00013 0.45700 -0.00037,0.09479 162.04980 0.00090,0.00224 0.29146 0.09961,323.34830 305.43610 109.38770,-0.00013 0.04558 0.00001,3.43542 5.50956 90.16535
2024-09-20 12:22:31.921959,10,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00007 341.26140 -0.00003,0.00000 0.16500 0.00000,359.94810 341.26140 90.00013,0.00003 0.27500 -0.00009,359.94820 341.88870 -0.00064,0.00003 0.27500 -0.00009,0.08957 161.88890 90.00082,0.00010 0.40100 -0.00028,0.08957 162.04980 0.00089,0.00010 0.40100 -0.00028,0.09479 162.04980 90.00109,0.00013 0.45700 -0.00037,0.09479 162.04980 0.00090,0.00224 0.29146 0.09961,323.34830 305.43610 109.38770,-0.00013 0.04558 0.00001,3.43542 5.50956 90.16535
2024-09-20 12:22:31.925478,11,0.00000 0.00000 0.00000,0.00000 0.00000 -0.00001,0.00000 0.16500 0.00000,0.00007 341.26140 -0.00003,0.00000 0.16500 0.00000,359.94810 341.26140 90.00013,0.00003 0.27500 -0.00009,359.94820 341.88870 -0.00064,0.00003 0.27500 -0.00009,0.08957 161.88890 90.00082,0.00010 0.40100 -0.00028,0.08957 162.04980 0.00089,0.00010 0.40100 -0.00028,0.09479 162.04980 90.00109,0.00013 0.45700 -0.00037,0.09479 162.04980 0.00090,0.00224 0.29146 0.09961,323.34830 305.43610 109.38770,-0.00013 0.04558 0.00001,3.43542 5.50956 90.16535
